"set","qnum","id","difficulty","answer","img","skill","domain","fmt"
"Circles 2","2.9","ee540927","411","D","Circles_2/q_09.jpg","Circles","Geometry and Trig","MCQ"
"Circles 2","2.10","fc8aa563","387","C","Circles_2/q_10.jpg","Circles","Geometry and Trig","MCQ"
"Circles 2","2.11","800e71b8","589","D","Circles_2/q_11.jpg","Circles","Geometry and Trig","MCQ"
"Circles 3","3.1","c8345903","579","B","Circles_3/q_01.jpg","Circles","Geometry and Trig","MCQ"
"Circles 3","3.2","2266984b","456","B","Circles_3/q_02.jpg","Circles","Geometry and Trig","MCQ"
"Circles 3","3.3","69b0d79d","595","B","Circles_3/q_03.jpg","Circles","Geometry and Trig","MCQ"
"Circles 3","3.4","ab176ad6","252","11","Circles_3/q_04.jpg","Circles","Geometry and Trig","SPR"
"Circles 3","3.5","3e577e4a","395","A","Circles_3/q_05.jpg","Circles","Geometry and Trig","MCQ"
"Circles 3","3.6","9e44284b","437","A","Circles_3/q_06.jpg","Circles","Geometry and Trig","MCQ"
"Circles 3","3.7","ca2235f6","393","D","Circles_3/q_07.jpg","Circles","Geometry and Trig","MCQ"
"Circles 3","3.8","981275d2","489","A","Circles_3/q_08.jpg","Circles","Geometry and Trig","MCQ"
"Circles 3","3.9","89661424","243","-52","Circles_3/q_09.jpg","Circles","Geometry and Trig","SPR"
"Circles 3","3.10","fb58c0db","261","1/6","Circles_3/q_10.jpg","Circles","Geometry and Trig","SPR"
"Circles 3","3.11","acd30391","435","D","Circles_3/q_11.jpg","Circles","Geometry and Trig","MCQ"
"Circles 3","3.12","b8a225ff","268","16","Circles_3/q_12.jpg","Circles","Geometry and Trig","SPR"
"Circles 3","3.13","249d3f80","242","100","Circles_3/q_13.jpg","Circles","Geometry and Trig","SPR"
"Circles 3","3.14","abcd0007","316","3","Circles_3/q_14.jpg","Circles","Geometry and Trig","SPR"
"Circles 3","3.15","1b2b20b9","754","28","Circles_3/q_15.jpg","Circles","Geometry and Trig","SPR"
"Circles 3","3.16","2855cb58","385","B","Circles_3/q_16.jpg","Circles","Geometry and Trig","MCQ"
"Circles 3","3.17","fa2771d5","436","C","Circles_3/q_17.jpg","Circles","Geometry and Trig","MCQ"
"Circles 3","3.18","35d37640","433","D","Circles_3/q_18.jpg","Circles","Geometry and Trig","MCQ"
"Equivalent Expressions 1","1.1","e312081b","451","B","Equivalent_Expressions_1/q_01.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.2","1d3fee25","427","C","Equivalent_Expressions_1/q_02.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.3","60fdb4d4","432","A","Equivalent_Expressions_1/q_03.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.4","49efde89","403","D","Equivalent_Expressions_1/q_04.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.5","9ed9f54d","425","A","Equivalent_Expressions_1/q_05.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.6","294db8ec","433","D","Equivalent_Expressions_1/q_06.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.7","6e06a0a7","433","D","Equivalent_Expressions_1/q_07.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.8","df0ef054","457","C","Equivalent_Expressions_1/q_08.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.9","127b2759","369","B","Equivalent_Expressions_1/q_09.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.10","fb96a5b3","427","B","Equivalent_Expressions_1/q_10.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.11","e597050f","372","D","Equivalent_Expressions_1/q_11.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.12","1e8d7183","372","D","Equivalent_Expressions_1/q_12.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.13","0354c7de","450","A","Equivalent_Expressions_1/q_13.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.14","974d33dc","432","D","Equivalent_Expressions_1/q_14.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.15","d4d513ff","373","C","Equivalent_Expressions_1/q_15.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.16","5dd53f73","391","B","Equivalent_Expressions_1/q_16.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.17","4ac59df6","395","A","Equivalent_Expressions_1/q_17.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.18","5d93c782","372","B","Equivalent_Expressions_1/q_18.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.19","0536ad4f","368","B","Equivalent_Expressions_1/q_19.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.20","67e866b5","370","D","Equivalent_Expressions_1/q_20.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.21","70482e20","368","B","Equivalent_Expressions_1/q_21.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.22","50338a48","385","A","Equivalent_Expressions_1/q_22.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.23","290cdc2c","420","B","Equivalent_Expressions_1/q_23.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.24","18c7c3e0","381","B","Equivalent_Expressions_1/q_24.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 1","1.25","8f82ad81","381","A","Equivalent_Expressions_1/q_25.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.1","dd4ab4c4","498","B","Equivalent_Expressions_2/q_01.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.2","b8caaf84","438","B","Equivalent_Expressions_2/q_02.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.3","ad2ec615","432","B","Equivalent_Expressions_2/q_03.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.4","42c71eb5","459","A","Equivalent_Expressions_2/q_04.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.5","a05bd3a4","450","C","Equivalent_Expressions_2/q_05.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.6","cc776a04","435","C","Equivalent_Expressions_2/q_06.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.7","a520ba07","452","B","Equivalent_Expressions_2/q_07.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.8","5b6af6b1","371","C","Equivalent_Expressions_2/q_08.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.9","a255ae72","452","B","Equivalent_Expressions_2/q_09.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.10","463eec13","519","D","Equivalent_Expressions_2/q_10.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.11","a1bf1c4e","439","B","Equivalent_Expressions_2/q_11.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.12","f237ccfc","286","32","Equivalent_Expressions_2/q_12.jpg","Equivalent Expressions","Advanced Math","SPR"
"Equivalent Expressions 2","2.13","a391ed22","303","2.5","Equivalent_Expressions_2/q_13.jpg","Equivalent Expressions","Advanced Math","SPR"
"Equivalent Expressions 2","2.14","c3a72da5","432","D","Equivalent_Expressions_2/q_14.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.15","16de54c7","285","4","Equivalent_Expressions_2/q_15.jpg","Equivalent Expressions","Advanced Math","SPR"
"Equivalent Expressions 2","2.16","d9137a84","374","D","Equivalent_Expressions_2/q_16.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.17","3e9cc0c2","433","B","Equivalent_Expressions_2/q_17.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.18","7348f046","497","C","Equivalent_Expressions_2/q_18.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.19","b47419f4","524","A","Equivalent_Expressions_2/q_19.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.20","8838a672","457","B","Equivalent_Expressions_2/q_20.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.21","0b3d25c5","524","D","Equivalent_Expressions_2/q_21.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.22","c602140f","454","B","Equivalent_Expressions_2/q_22.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.23","3206b905","396","D","Equivalent_Expressions_2/q_23.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.24","26eb61c1","373","C","Equivalent_Expressions_2/q_24.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 2","2.25","6d04c89d","371","A","Equivalent_Expressions_2/q_25.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 3","3.1","371cbf6b","427","C","Equivalent_Expressions_3/q_01.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 3","3.2","40c09d66","337","7/6","Equivalent_Expressions_3/q_02.jpg","Equivalent Expressions","Advanced Math","SPR"
"Equivalent Expressions 3","3.3","34847f8a","523","C","Equivalent_Expressions_3/q_03.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 3","3.4","137cc6fd","257","4/225","Equivalent_Expressions_3/q_04.jpg","Equivalent Expressions","Advanced Math","SPR"
"Equivalent Expressions 3","3.5","ea6d05bb","239","-419","Equivalent_Expressions_3/q_05.jpg","Equivalent Expressions","Advanced Math","SPR"
"Equivalent Expressions 3","3.6","d8789a4c","486","A","Equivalent_Expressions_3/q_06.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 3","3.7","5355c0ef","246","0.09","Equivalent_Expressions_3/q_07.jpg","Equivalent Expressions","Advanced Math","SPR"
"Equivalent Expressions 3","3.8","c81b6c57","509","B","Equivalent_Expressions_3/q_08.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 3","3.9","2c88af4d","582","D","Equivalent_Expressions_3/q_09.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 3","3.10","22fd3e1f","595","D","Equivalent_Expressions_3/q_10.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 3","3.11","a0b4103e","433","D","Equivalent_Expressions_3/q_11.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 3","3.12","ad038c19","561","D","Equivalent_Expressions_3/q_12.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 3","3.13","12e7faf8","507","C","Equivalent_Expressions_3/q_13.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 3","3.14","89fc23af","527","D","Equivalent_Expressions_3/q_14.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 3","3.15","911c415b","326","6632","Equivalent_Expressions_3/q_15.jpg","Equivalent Expressions","Advanced Math","SPR"
"Equivalent Expressions 3","3.16","f89e1d6f","444","C","Equivalent_Expressions_3/q_16.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 3","3.17","e117d3b8","441","C","Equivalent_Expressions_3/q_17.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 3","3.18","42f8e4b4","240","8","Equivalent_Expressions_3/q_18.jpg","Equivalent Expressions","Advanced Math","SPR"
"Equivalent Expressions 3","3.19","433184f1","392","D","Equivalent_Expressions_3/q_19.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Equivalent Expressions 3","3.20","c3b116d7","424","B","Equivalent_Expressions_3/q_20.jpg","Equivalent Expressions","Advanced Math","MCQ"
"Evaluating Statistical Claims 1","1.1","9bf4c545","469","D","Evaluating_Statistical_Claims_1/q_01.jpg","Evaluating Statistical Claims","PSDA","MCQ"
"Evaluating Statistical Claims 1","1.2","82dfb646","469","D","Evaluating_Statistical_Claims_1/q_02.jpg","Evaluating Statistical Claims","PSDA","MCQ"
"Evaluating Statistical Claims 2","2.1","37930b2a","515","A","Evaluating_Statistical_Claims_2/q_01.jpg","Evaluating Statistical Claims","PSDA","MCQ"
"Evaluating Statistical Claims 2","2.2","b4f5a7ca","444","C","Evaluating_Statistical_Claims_2/q_02.jpg","Evaluating Statistical Claims","PSDA","MCQ"
"Evaluating Statistical Claims 2","2.3","642519d7","609","A","Evaluating_Statistical_Claims_2/q_03.jpg","Evaluating Statistical Claims","PSDA","MCQ"
"Evaluating Statistical Claims 3","3.1","1ea09200","469","B","Evaluating_Statistical_Claims_3/q_01.jpg","Evaluating Statistical Claims","PSDA","MCQ"
"Evaluating Statistical Claims 3","3.2","7d68096f","686","D","Evaluating_Statistical_Claims_3/q_02.jpg","Evaluating Statistical Claims","PSDA","MCQ"
"Evaluating Statistical Claims 3","3.3","7ce2830a","542","B","Evaluating_Statistical_Claims_3/q_03.jpg","Evaluating Statistical Claims","PSDA","MCQ"
"Evaluating Statistical Claims 3","3.4","aa43b41f","493","B","Evaluating_Statistical_Claims_3/q_04.jpg","Evaluating Statistical Claims","PSDA","MCQ"
"Evaluating Statistical Claims 3","3.5","4a422e3e","518","C","Evaluating_Statistical_Claims_3/q_05.jpg","Evaluating Statistical Claims","PSDA","MCQ"
"Evaluating Statistical Claims 3","3.6","6fca0144","465","D","Evaluating_Statistical_Claims_3/q_06.jpg","Evaluating Statistical Claims","PSDA","MCQ"
"Linear Equations in One Variable 1","1.1","097e10f5","369","A","Linear_Equations_in_One_Variable_1/q_01.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.2","997bec28","242","35","Linear_Equations_in_One_Variable_1/q_02.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 1","1.3","6ac23de7","444","A","Linear_Equations_in_One_Variable_1/q_03.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.4","7392dfc1","427","D","Linear_Equations_in_One_Variable_1/q_04.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.5","93954cfa","450","A","Linear_Equations_in_One_Variable_1/q_05.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.6","3d04de9c","393","A","Linear_Equations_in_One_Variable_1/q_06.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.7","60f71697","394","A","Linear_Equations_in_One_Variable_1/q_07.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.8","550b352c","428","B","Linear_Equations_in_One_Variable_1/q_08.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.9","ed18c4f7","419","D","Linear_Equations_in_One_Variable_1/q_09.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.10","12255364","418","C","Linear_Equations_in_One_Variable_1/q_10.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.11","d9d83c02","471","D","Linear_Equations_in_One_Variable_1/q_11.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.12","7a987ae4","428","B","Linear_Equations_in_One_Variable_1/q_12.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.13","9ff10b3b","512","C","Linear_Equations_in_One_Variable_1/q_13.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.14","4e77195b","217","480","Linear_Equations_in_One_Variable_1/q_14.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 1","1.15","4f7981a0","249","24","Linear_Equations_in_One_Variable_1/q_15.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 1","1.16","46f68129","417","B","Linear_Equations_in_One_Variable_1/q_16.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.17","e53870b6","274","5","Linear_Equations_in_One_Variable_1/q_17.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 1","1.18","70774aa4","369","D","Linear_Equations_in_One_Variable_1/q_18.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.19","a9c04a21","401","C","Linear_Equations_in_One_Variable_1/q_19.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.20","590f2187","391","B","Linear_Equations_in_One_Variable_1/q_20.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.21","59afe8db","391","A","Linear_Equations_in_One_Variable_1/q_21.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.22","c7d7980e","223","8","Linear_Equations_in_One_Variable_1/q_22.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 1","1.23","40ba6288","391","B","Linear_Equations_in_One_Variable_1/q_23.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.24","87071893","242","55","Linear_Equations_in_One_Variable_1/q_24.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 1","1.25","3c4ce699","217","27","Linear_Equations_in_One_Variable_1/q_25.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 1","1.26","4de87c9a","370","D","Linear_Equations_in_One_Variable_1/q_26.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.27","8339793c","266","10","Linear_Equations_in_One_Variable_1/q_27.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 1","1.28","2f0a43b2","222","0.2","Linear_Equations_in_One_Variable_1/q_28.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 1","1.29","4f8bd093","381","D","Linear_Equations_in_One_Variable_1/q_29.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 1","1.30","9b886541","381","D","Linear_Equations_in_One_Variable_1/q_30.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 2","2.1","7a5a74a6","578","B","Linear_Equations_in_One_Variable_2/q_01.jpg","Linear Equations in One Variable","Algebra","MCQ"
